indice,x_cm,y_cm,theta1,theta2,alcanzable,configuracion,unidad_angulos
1518,0.5337,-9.9837,7.2221,-98.8426,true,abajo,grados
1519,0.565,-9.9799,7.2391,-98.7075,true,abajo,grados
1520,0.5961,-9.9752,7.259,-98.5752,true,abajo,grados
1521,0.6272,-9.9696,7.2817,-98.4455,true,abajo,grados
1522,0.6583,-9.963,7.3074,-98.3187,true,abajo,grados
1523,0.6892,-9.9556,7.3361,-98.1948,true,abajo,grados
1524,0.72,-9.9473,7.3678,-98.0739,true,abajo,grados
1525,0.7507,-9.938,7.4025,-97.956,true,abajo,grados
1526,0.7813,-9.9278,7.4403,-97.8411,true,abajo,grados
1527,0.8118,-9.9167,7.4812,-97.7294,true,abajo,grados
1528,0.8422,-9.9046,7.5252,-97.6209,true,abajo,grados
1529,0.8724,-9.8915,7.5724,-97.5156,true,abajo,grados
1530,0.9024,-9.8775,7.6228,-97.4136,true,abajo,grados
1531,0.9323,-9.8625,7.6763,-97.315,true,abajo,grados
1532,0.962,-9.8466,7.733,-97.2197,true,abajo,grados
1533,0.9915,-9.8297,7.7929,-97.1278,true,abajo,grados
1534,1.0209,-9.8118,7.8561,-97.0394,true,abajo,grados
1535,1.05,-9.793,7.9224,-96.9544,true,abajo,grados
1536,1.079,-9.7732,7.992,-96.8729,true,abajo,grados
1537,1.1077,-9.7524,8.0648,-96.7949,true,abajo,grados
1538,1.1362,-9.7306,8.1408,-96.7205,true,abajo,grados
1539,1.1645,-9.7079,8.22,-96.6497,true,abajo,grados
1540,1.1925,-9.6842,8.3024,-96.5824,true,abajo,grados
1541,1.2203,-9.6596,8.388,-96.5187,true,abajo,grados
1542,1.2478,-9.634,8.4768,-96.4585,true,abajo,grados
1543,1.2751,-9.6075,8.5687,-96.402,true,abajo,grados
1544,1.3021,-9.5801,8.6637,-96.349,true,abajo,grados
1545,1.3288,-9.5517,8.7618,-96.2996,true,abajo,grados
1546,1.3552,-9.5224,8.863,-96.2538,true,abajo,grados
1547,1.3814,-9.4922,8.9673,-96.2115,true,abajo,grados
1548,1.4072,-9.4611,9.0745,-96.1728,true,abajo,grados
1549,1.4328,-9.4291,9.1848,-96.1376,true,abajo,grados
1550,1.458,-9.3963,9.2979,-96.1058,true,abajo,grados
1551,1.4829,-9.3626,9.4139,-96.0776,true,abajo,grados
1552,1.5075,-9.3281,9.5328,-96.0527,true,abajo,grados
1553,1.5317,-9.2927,9.6545,-96.0312,true,abajo,grados
1554,1.5557,-9.2566,9.7789,-96.0131,true,abajo,grados
1555,1.5792,-9.2196,9.9059,-95.9983,true,abajo,grados
1556,1.6025,-9.1819,10.0357,-95.9867,true,abajo,grados
1557,1.6254,-9.1434,10.1679,-95.9784,true,abajo,grados
1558,1.6479,-9.1042,10.3027,-95.9732,true,abajo,grados
1559,1.6701,-9.0642,10.4399,-95.971,true,abajo,grados
1560,1.692,-9.0236,10.5795,-95.972,true,abajo,grados
1561,1.7135,-8.9823,10.7214,-95.9759,true,abajo,grados
1562,1.7346,-8.9404,10.8656,-95.9826,true,abajo,grados
1563,1.7554,-8.8978,11.0118,-95.9923,true,abajo,grados
1564,1.7758,-8.8546,11.1602,-96.0046,true,abajo,grados
1565,1.7958,-8.8109,11.3105,-96.0197,true,abajo,grados
1566,1.8155,-8.7665,11.4628,-96.0374,true,abajo,grados
1567,1.8348,-8.7217,11.6169,-96.0576,true,abajo,grados
1568,1.8537,-8.6763,11.7727,-96.0802,true,abajo,grados
1569,1.8723,-8.6305,11.9302,-96.1052,true,abajo,grados
1570,1.8905,-8.5842,12.0892,-96.1324,true,abajo,grados
1571,1.9084,-8.5375,12.2498,-96.1618,true,abajo,grados
1572,1.9259,-8.4905,12.4117,-96.1933,true,abajo,grados
1573,1.943,-8.443,12.5748,-96.2268,true,abajo,grados
1574,1.9598,-8.3952,12.7392,-96.2622,true,abajo,grados
1575,1.9762,-8.3471,12.9046,-96.2993,true,abajo,grados
1576,1.9923,-8.2987,13.071,-96.3381,true,abajo,grados
1577,2.0081,-8.2501,13.2384,-96.3786,true,abajo,grados
1578,2.0235,-8.2012,13.4064,-96.4204,true,abajo,grados
1579,2.0386,-8.1521,13.5752,-96.4637,true,abajo,grados
1580,2.0534,-8.1029,13.7445,-96.5083,true,abajo,grados
1581,2.0678,-8.0536,13.9143,-96.554,true,abajo,grados
1582,2.0819,-8.0042,14.0844,-96.6007,true,abajo,grados
1583,2.0958,-7.9547,14.2548,-96.6484,true,abajo,grados
1584,2.1093,-7.9051,14.4253,-96.6969,true,abajo,grados
1585,2.1225,-7.8556,14.5958,-96.7461,true,abajo,grados
1586,2.1355,-7.806,14.7663,-96.796,true,abajo,grados
1587,2.1482,-7.7566,14.9365,-96.8463,true,abajo,grados
1588,2.1606,-7.7072,15.1065,-96.897,true,abajo,grados
1589,2.1728,-7.658,15.276,-96.948,true,abajo,grados
1590,2.1847,-7.6089,15.445,-96.9992,true,abajo,grados
1591,2.1964,-7.5599,15.6133,-97.0503,true,abajo,grados
1592,2.2078,-7.5112,15.7809,-97.1014,true,abajo,grados
1593,2.2191,-7.4628,15.9476,-97.1523,true,abajo,grados
1594,2.2301,-7.4146,16.1134,-97.2029,true,abajo,grados
1595,2.241,-7.3667,16.278,-97.2531,true,abajo,grados
1596,2.2517,-7.3191,16.4415,-97.3027,true,abajo,grados
1597,2.2622,-7.2719,16.6036,-97.3517,true,abajo,grados
1598,2.2725,-7.2251,16.7643,-97.4,true,abajo,grados
1599,2.2827,-7.1787,16.9235,-97.4473,true,abajo,grados
1600,2.2928,-7.1328,17.081,-97.4937,true,abajo,grados
1601,2.3028,-7.0874,17.2368,-97.539,true,abajo,grados
1602,2.3127,-7.0424,17.3907,-97.5831,true,abajo,grados
1603,2.3225,-6.998,17.5427,-97.6258,true,abajo,grados
1604,2.3322,-6.9542,17.6926,-97.6672,true,abajo,grados
1605,2.3419,-6.9109,17.8404,-97.7069,true,abajo,grados
1606,2.3515,-6.8683,17.9859,-97.7451,true,abajo,grados
1607,2.3612,-6.8263,18.129,-97.7815,true,abajo,grados
1608,2.3708,-6.785,18.2697,-97.816,true,abajo,grados
1609,2.3804,-6.7443,18.4078,-97.8486,true,abajo,grados
1610,2.39,-6.7044,18.5433,-97.8791,true,abajo,grados
1611,2.3996,-6.6652,18.676,-97.9074,true,abajo,grados
1612,2.4093,-6.6268,18.8059,-97.9334,true,abajo,grados
1613,2.4191,-6.5891,18.9328,-97.9571,true,abajo,grados
1614,2.429,-6.5523,19.0568,-97.9783,true,abajo,grados
1615,2.4389,-6.5163,19.1777,-97.9969,true,abajo,grados
1616,2.449,-6.4811,19.2954,-98.0129,true,abajo,grados
1617,2.4592,-6.4468,19.4098,-98.0261,true,abajo,grados
1618,2.4695,-6.4133,19.521,-98.0364,true,abajo,grados
1619,2.4801,-6.3808,19.6287,-98.0438,true,abajo,grados
1620,2.4908,-6.3491,19.733,-98.0482,true,abajo,grados
1621,2.5016,-6.3184,19.8337,-98.0494,true,abajo,grados
1622,2.5127,-6.2886,19.9309,-98.0474,true,abajo,grados
