t,tau1,tau2,theta1,theta2,dtheta1,dtheta2,ddtheta1,ddtheta2
1.2712712712712713,0.564130228126396,0.05685223130515783,0.9554767370614389,0.2950664415592293,0.2950664415592293,-0.9554767370614389,-0.9554767370614389,-0.2950664415592293
1.2812812812812813,0.5631878478453148,0.05821758806255853,0.9583824366414136,0.2854874868313264,0.2854874868313264,-0.9583824366414136,-0.9583824366414136,-0.2854874868313264
1.2912912912912913,0.5623478595702646,0.05960868408066659,0.9611921068151904,0.2758799264103419,0.2758799264103419,-0.9611921068151904,-0.9611921068151904,-0.2758799264103419
1.3013013013013013,0.561610631280229,0.06102512586265603,0.9639054660553243,0.2662447229686777,0.2662447229686777,-0.9639054660553243,-0.9639054660553243,-0.2662447229686777
1.3113113113113113,0.5609764891795751,0.06246650614300275,0.9665222424846749,0.2565828419485515,0.2565828419485515,-0.9665222424846749,-0.9665222424846749,-0.2565828419485515
1.3213213213213213,0.560445717505454,0.06393240377499775,0.9690421739036469,0.24689525146526026,0.24689525146526026,-0.9690421739036469,-0.9690421739036469,-0.24689525146526026
1.3313313313313313,0.5600185583523742,0.06542238362883111,0.9714650078164637,0.23718292221017512,0.23718292221017512,-0.9714650078164637,-0.9714650078164637,-0.23718292221017512
1.3413413413413413,0.5596952115141974,0.06693599650072192,0.9737905014564666,0.227446827353479,0.227446827353479,-0.9737905014564666,-0.9737905014564666,-0.227446827353479
1.3513513513513513,0.559475834343798,0.06847277903355717,0.9760184218104399,0.21768794244665535,0.21768794244665535,-0.9760184218104399,-0.9760184218104399,-0.21768794244665535
1.3613613613613613,0.5593605416306263,0.07003225364949765,0.9781485456419587,0.20790724532473845,0.20790724532473845,-0.9781485456419587,-0.9781485456419587,-0.20790724532473845
1.3713713713713713,0.5593494054964164,0.07161392849499555,0.9801806595137577,0.1981057160083348,0.1981057160083348,-0.9801806595137577,-0.9801806595137577,-0.1981057160083348
1.3813813813813813,0.559442455309263,0.07321729739865954,0.9821145598091165,0.18828433660542557,0.18828433660542557,-0.9821145598091165,-0.9821145598091165,-0.18828433660542557
1.3913913913913913,0.5596396776162995,0.07484183984239011,0.9839500527522628,0.17844409121296007,0.17844409121296007,-0.9839500527522628,-0.9839500527522628,-0.17844409121296007
1.4014014014014013,0.5599410160951903,0.07648702094619547,0.9856869544277879,0.16858596581824956,0.16858596581824956,-0.9856869544277879,-0.9856869544277879,-0.16858596581824956
1.4114114114114114,0.5603463715246545,0.07815229146708598,0.9873250907990754,0.15871094820017193,0.15871094820017193,-0.9873250907990754,-0.9873250907990754,-0.15871094820017193
1.4214214214214214,0.5608556017742207,0.07983708781242858,0.9888642977257392,0.14882002783019682,0.14882002783019682,-0.9888642977257392,-0.9888642977257392,-0.14882002783019682
1.4314314314314314,0.5614685218134104,0.08154083206812948,0.990304420980071,0.13891419577324113,0.13891419577324113,-0.990304420980071,-0.990304420980071,-0.13891419577324113
1.4414414414414414,0.5621849037405352,0.08326293204199578,0.9916453162624927,0.1289944445883647,0.1289944445883647,-0.9916453162624927,-0.9916453162624927,-0.1289944445883647
1.4514514514514514,0.5630044768312823,0.08500278132261099,0.9928868492160164,0.11906176822931658,0.11906176822931658,-0.9928868492160164,-0.9928868492160164,-0.11906176822931658
1.4614614614614614,0.563926927607255,0.08675975935404097,0.9940288954397057,0.10911716194494135,0.10911716194494135,-0.9940288954397057,-0.9940288954397057,-0.10911716194494135
1.4714714714714714,0.564951899924618,0.08853323152666738,0.9950713405011415,0.09916162217945569,0.09916162217945569,-0.9950713405011415,-0.9950713405011415,-0.09916162217945569
1.4814814814814814,0.5660789950829904,0.09032254928442925,0.9960140799478878,0.08919614647260522,0.08919614647260522,-0.9960140799478878,-0.9960140799478878,-0.08919614647260522
1.4914914914914914,0.5673077719547122,0.092127050248729,0.9968570193179576,0.07922173335971157,0.07922173335971157,-0.9968570193179576,-0.9968570193179576,-0.07922173335971157
1.5015015015015014,0.5686377471345988,0.09394605835924225,0.9976000741492778,0.06923938227161965,0.06923938227161965,-0.9976000741492778,-0.9976000741492778,-0.06923938227161965
1.5115115115115114,0.5700683951102796,0.09577888403184583,0.998243169988153,0.05925009343455523,0.05925009343455523,-0.998243169988153,-0.998243169988153,-0.05925009343455523
1.5215215215215214,0.5715991484532086,0.09762482433385841,0.998786242396725,0.04925486776990282,0.04925486776990282,-0.998786242396725,-0.998786242396725,-0.04925486776990282
1.5315315315315314,0.5732293980304095,0.09948316317676346,0.9992292369594296,0.039254706793913866,0.039254706793913866,-0.9992292369594296,-0.9992292369594296,-0.039254706793913866
1.5415415415415414,0.5749584932370104,0.10135317152656062,0.9995721092884493,0.029250612517355345,0.029250612517355345,-0.9995721092884493,-0.9995721092884493,-0.029250612517355345
1.5515515515515514,0.5767857422496009,0.10323410763186773,0.9998148250281604,0.01924358734510886,0.01924358734510886,-0.9998148250281604,-0.9998148250281604,-0.01924358734510886
1.5615615615615615,0.5787104123004254,0.10512521726987005,0.9999573598585764,0.009234633975730188,0.009234633975730188,-0.9999573598585764,-0.9999573598585764,-0.009234633975730188
1.5715715715715717,0.5807317299724163,0.10702573401018738,0.9999996994977832,-0.0007752446990208006,-0.0007752446990208006,-0.9999996994977832,-0.9999996994977832,0.0007752446990208006
